edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
1,1,2,42433712,42433715,17.02,6.30,79.14,10.40,3.85
2,1,5,42433712,246901366,25.55,16.02,148.06,12.96,8.13
3,2,1,42433715,42433712,29.08,16.63,79.14,6.09,3.48
4,2,6,42433715,42433718,11.47,5.79,79.23,15.46,7.80
5,3,23,42437410,42437401,22.90,16.89,104.29,10.19,7.51
6,4,8,42427412,42440628,15.80,9.45,76.04,10.77,6.44
7,4,16,42427412,42427411,11.89,8.69,74.33,13.98,10.22
8,5,1,246901366,42433712,14.57,6.39,148.06,22.73,9.97
9,5,7,246901366,42443666,12.71,9.98,101.56,17.87,14.04
10,5,9,246901366,246858654,20.71,16.87,38.57,4.17,3.39
11,6,2,42433718,42433715,20.80,13.66,79.23,8.52,5.60
12,6,16,42433718,42427411,12.47,9.97,85.94,15.41,12.32
13,7,1,42443666,42433712,17.35,13.03,88.20,11.37,8.54
14,7,12,42443666,42429521,9.86,8.64,81.60,18.52,16.23
15,8,4,42440628,42427412,12.67,6.53,76.04,13.42,6.92
16,8,11,42440628,42440639,31.34,19.86,37.53,2.68,1.70
17,8,11,42440628,42440639,14.58,10.99,37.53,5.76,4.34
18,9,5,246858654,246901366,16.52,9.38,38.57,5.22,2.97
19,9,15,246858654,4207802391,18.98,14.08,21.19,2.50,1.85
20,10,9,587987721,246858654,16.58,14.53,34.84,4.70,4.12
21,10,20,587987721,42451375,23.15,21.59,30.15,2.91,2.72
22,11,8,42440639,42440628,21.45,8.19,37.53,3.91,1.49
23,11,23,42440639,42437401,13.76,9.36,87.33,14.20,9.66
24,12,2,42429521,42433715,27.86,15.87,78.90,6.33,3.61
25,12,18,42429521,588593097,11.40,10.28,81.73,16.03,14.45
26,13,31,42445286,42446849,7.71,10.22,78.25,22.71,30.11
27,14,165,246899801,42451402,35.02,5.28,569.54,36.38,5.48
28,15,22,4207802391,1772136801,20.06,13.94,21.59,2.41,1.67
29,16,4,42427411,42427412,12.95,9.01,74.33,12.84,8.93
30,16,6,42427411,42433718,13.86,7.42,85.94,13.87,7.42
31,16,35,42427411,588593611,10.62,12.33,83.69,17.63,20.46
32,17,27,246900041,4145434709,12.68,9.48,163.14,28.77,21.51
33,18,6,588593097,42433718,18.31,17.40,56.69,6.93,6.58
34,19,13,42429633,42445286,14.45,11.24,90.59,14.03,10.91
35,20,30,42451375,42451370,11.40,12.43,183.69,36.04,39.31
36,21,9,246923513,246858654,11.40,11.00,41.87,8.22,7.93
37,21,20,246923513,42451375,16.85,13.71,21.54,2.86,2.33
38,22,21,1772136801,246923513,20.21,18.37,9.19,1.02,0.92
39,22,41,1772136801,1772136810,23.33,11.25,63.71,6.11,2.94
40,23,3,42437401,42437410,22.47,16.49,104.29,10.38,7.62
41,23,11,42437401,42440639,20.52,8.70,87.33,9.52,4.04
42,23,29,42437401,4281671258,18.18,12.63,117.25,14.43,10.03
43,23,57,42437401,246866798,9.21,9.77,102.00,24.77,26.28
44,24,10,588593353,587987721,24.26,14.92,172.99,15.95,9.81
45,24,14,588593353,246899801,27.88,6.33,173.89,13.95,3.17
46,25,31,42446854,42446849,13.69,10.46,41.09,6.71,5.13
47,25,95,42446854,246866806,10.25,14.22,203.34,44.37,61.57
48,26,21,4207802392,246923513,14.42,12.64,29.51,4.58,4.01
49,27,30,4145434709,42451370,14.79,10.16,21.67,3.28,2.25
50,28,24,246909454,588593353,24.89,9.90,61.95,5.57,2.21
51,29,23,4281671258,42437401,12.33,8.15,117.25,21.26,14.05
52,29,33,4281671258,42422026,9.09,13.54,54.17,13.34,19.88
53,30,32,42451370,4207802393,16.10,11.26,19.34,2.69,1.88
54,30,47,42451370,5209084625,30.72,17.28,44.89,3.27,1.84
55,31,25,42446849,42446854,10.97,13.09,41.09,8.38,10.00
56,31,44,42446849,42429595,10.97,11.24,60.51,12.34,12.65
57,32,34,4207802393,246911576,17.28,11.66,24.32,3.15,2.13
58,33,29,42422026,4281671258,15.29,6.77,54.17,7.92,3.51
59,33,38,42422026,889298452,15.02,13.52,32.75,4.88,4.39
60,33,77,42422026,246858433,10.74,11.93,109.30,22.76,25.27
61,34,37,246911576,3574648569,22.00,10.39,19.64,2.00,0.94
62,34,46,246911576,246899083,18.81,12.45,30.22,3.59,2.38
63,35,16,588593611,42427411,18.97,15.30,83.69,9.87,7.96
64,35,28,588593611,246909454,23.96,10.51,68.10,6.36,2.79
65,37,39,3574648569,588593059,25.44,10.02,10.02,0.88,0.35
66,38,33,889298452,42422026,26.02,17.38,32.75,2.82,1.88
67,38,40,889298452,889298432,14.68,12.66,3.25,0.50,0.43
68,39,28,588593059,246909454,20.86,14.33,31.17,3.34,2.30
69,39,45,588593059,246913431,26.66,9.77,46.47,3.90,1.43
70,40,38,889298432,889298452,26.12,18.83,3.25,0.28,0.20
71,40,43,889298432,1696261064,16.53,12.71,3.26,0.44,0.34
72,41,54,1772136810,2889562918,22.74,12.14,34.75,3.42,1.82
73,42,26,588546882,4207802392,16.49,12.41,36.75,4.99,3.75
74,42,41,588546882,1772136810,21.46,19.83,12.01,1.25,1.16
75,43,38,1696261064,889298452,19.10,15.33,6.41,0.75,0.60
76,43,40,1696261064,889298432,25.01,19.45,3.26,0.29,0.23
77,44,31,42429595,42446849,14.39,12.65,60.51,9.40,8.27
78,44,49,42429595,42429630,13.82,6.35,32.77,5.30,2.44
79,44,82,42429595,42429577,11.85,11.98,93.07,17.58,17.78
80,45,58,246913431,42446640,25.61,9.83,92.17,8.05,3.09
81,46,64,246899083,246899085,24.41,11.88,44.01,4.03,1.96
82,47,60,5209084625,4207000214,30.88,17.43,29.28,2.12,1.20
83,48,68,246906179,246906186,23.43,12.59,152.80,14.59,7.84
84,49,19,42429630,42429633,12.38,8.78,107.16,19.36,13.72
85,49,44,42429630,42429595,15.09,12.84,32.77,4.86,4.14
86,49,55,42429630,42446800,17.14,10.49,23.37,3.05,1.87
87,50,39,4149752689,588593059,16.65,13.89,28.66,3.85,3.21
88,51,45,4149748669,246913431,15.02,12.89,30.49,4.54,3.89
89,53,45,4149750389,246913431,20.13,17.39,23.38,2.60,2.24
90,54,69,2889562918,3914862593,21.28,13.09,20.82,2.19,1.35
91,55,49,42446800,42429630,12.23,8.32,23.37,4.27,2.91
92,55,89,42446800,42446825,9.84,9.37,135.16,30.72,29.24
93,56,52,4149974435,370880729,26.76,10.59,7.77,0.65,0.26
94,57,23,246866798,42437401,14.57,13.17,102.00,15.66,14.15
95,57,66,246866798,246858431,14.03,8.22,14.40,2.30,1.34
96,58,73,42446640,42452314,21.38,11.65,109.44,11.45,6.24
97,58,87,42446640,42446632,15.79,12.60,74.97,10.62,8.47
98,59,56,4149947889,4149974435,24.95,10.35,20.54,1.84,0.76
99,60,62,4207000214,42452994,30.24,17.43,3.41,0.25,0.15
100,61,59,3574648567,4149947889,23.86,11.28,22.51,2.11,1.00
101,62,42,42452994,588546882,29.82,17.18,172.20,12.92,7.44
102,63,35,5815234915,588593611,21.29,11.94,226.40,23.79,13.34
103,63,48,5815234915,246906179,23.19,11.39,161.98,15.63,7.68
104,64,61,246899085,3574648567,26.15,10.05,121.63,10.41,4.00
105,65,67,370880731,4916899612,30.81,12.59,8.56,0.62,0.25
106,66,57,246858431,246866798,16.06,10.66,14.40,2.01,1.33
107,66,63,246858431,5815234915,26.65,9.38,14.07,1.18,0.42
108,66,74,246858431,42437396,14.39,9.11,26.04,4.05,2.56
109,67,78,4916899612,246909446,29.42,12.45,94.17,7.16,3.03
110,68,61,246906186,3574648567,18.06,12.07,134.27,16.63,11.11
111,69,71,3914862593,588546798,18.78,14.89,10.51,1.25,0.99
112,69,90,3914862593,588546891,17.16,14.98,68.28,8.90,7.77
113,70,36,42431635,42445291,14.79,3.73,83.93,12.69,3.20
114,70,96,42431635,42431630,13.76,3.67,84.49,13.73,3.67
115,71,42,588546798,588546882,17.40,11.40,58.67,7.54,4.94
116,71,88,588546798,42436202,18.40,13.05,172.54,20.98,14.88
117,72,50,3574612293,4149752689,16.12,13.91,39.82,5.53,4.77
118,72,51,3574612293,4149748669,14.35,12.25,44.17,6.89,5.88
119,73,74,42452314,42437396,19.89,11.67,43.86,4.93,2.89
