node_id,osm_node_id,lng,lat
1,42433712,-74.01793,40.706175
2,42433715,-74.0175699,40.7068323
3,42437410,-74.017553,40.7103718
4,42427412,-74.017398,40.708457
5,246901366,-74.017352,40.7049176
6,42433718,-74.0171175,40.7074569
7,42443666,-74.0170123,40.7057939
8,42440628,-74.0169615,40.7090555
9,246858654,-74.0169087,40.7048317
10,587987721,-74.0168143,40.7051367
11,42440639,-74.0167518,40.7093532
12,42429521,-74.0167436,40.7064989
13,42445286,-74.016677,40.7155287
14,246899801,-74.016672,40.7051007
15,4207802391,-74.0166607,40.7048006
16,42427411,-74.016626,40.708134
17,246900041,-74.0165814,40.7050856
18,588593097,-74.0165254,40.7072151
19,42429633,-74.0164693,40.716328
20,42451375,-74.0164671,40.7050716
21,246923513,-74.0164164,40.7048817
22,1772136801,-74.0164046,40.7047995
23,42437401,-74.0163751,40.7100848
24,588593353,-74.0162324,40.7066286
25,42446854,-74.0161825,40.7147834
26,4207802392,-74.0160734,40.7049346
27,4145434709,-74.0160494,40.7064962
28,246909454,-74.0160121,40.7071601
29,4281671258,-74.0159876,40.7110975
30,42451370,-74.0159533,40.706677
31,42446849,-74.0159377,40.715103
32,4207802393,-74.0158875,40.7068436
33,42422026,-74.0158085,40.7115654
34,246911576,-74.0158047,40.7070531
35,588593611,-74.0157754,40.7077457
36,42445291,-74.015769,40.717671
37,3574648569,-74.0157347,40.7072216
38,889298452,-74.0156977,40.7118477
39,588593059,-74.0156972,40.7073071
40,889298432,-74.0156604,40.7118403
41,1772136810,-74.0156504,40.7048371
42,588546882,-74.0156376,40.7049447
43,1696261064,-74.0156219,40.7118431
44,42429595,-74.0155746,40.7155725
45,246913431,-74.0155122,40.7077008
46,246899083,-74.0154512,40.7070984
47,5209084625,-74.0154461,40.7065538
48,246906179,-74.0154267,40.7082794
49,42429630,-74.0153819,40.7158285
50,4149752689,-74.0153597,40.7073385
51,4149748669,-74.0153067,40.7074751
52,370880729,-74.0152649,40.705292
53,4149750389,-74.0152582,40.7076163
54,2889562918,-74.0152442,40.7047836
55,42446800,-74.0152427,40.7160103
56,4149974435,-74.0152404,40.7053594
57,246866798,-74.0152086,40.7098408
58,42446640,-74.0151971,40.7084945
59,4149947889,-74.015175,40.7055373
